labels,text
Selamlama,Sizi tekrar görmek güzel!
Oneri_Alternatif,Vegan deri ürünler hakkında ne düşünüyorsun?
Uretim_Sureci,Hava emisyonları üretimde nasıl kontrol altında tutulur?
Cevre_Etkisi_Karsilastirma,"Bambu lifleri mi, keten lifleri mi çevre için daha az zarar veriyor?"
Yanlis_Bilgi_Duzeltme,"Sürdürülebilir üretim çok pahalıymış, bu ne kadar doğru?"
Teknik_Tekstil,Tarlaların üzerini örten bezler doğada çözünebiliyor mu?
Etiketleme_Sorusu,Bir ürünün organik olduğunu etiketinden nasıl anlarım?
Oneri_Alternatif,Yeni bir kıyafet almak yerine dönüştürme/kombin önerilerin olur mu?
Oneri_Alternatif,Yeni nesil kumaş teknolojileri hakkında bilgi verir misin?
Selamlama,Birkaç soru sormak istiyorum.
Etiketleme_Sorusu,Etikette “biolojik çözünür” yazıyor ama bu kumaşın tamamen doğada yok olacağı anlamına mı gelir?
Oneri_Alternatif,Hangi malzemeler mikroplastik salınımı yapmaz?
Surdurulebilirlik_Tanimi,Doğal kaynakları tüketmeden yaşamak mümkün mü
Oneri_Alternatif,Pamuk yerine hangi daha sürdürülebilir malzemeleri kullanabilirim?
Vedalasma,Sizleri bilgilendirmek güzeldi.
Etiketleme_Sorusu,Etiketlerde şeffaflık nasıl sağlanır?
Geri_Donusum,Kıyafet geri dönüşümünün su tüketimine etkisi nedir?
Selamlama,"Bilgilenmeye geldiniz, hoş geldiniz."
Yanlis_Bilgi_Duzeltme,Bu konuda güncel araştırmalar farklı sonuçlar sunuyor.
Malzeme_Turu,"Kumaş etiketi nasıl okunur, hangi bilgiye dikkat etmeliyim?"
Surdurulebilirlik_Tanimi,Toplum ve çevre için sorumlu davranmak neden önemli
Selamlama,"Yeni bir mont aldım, acaba karbon ayak izi yüksek midir?"
Malzeme_Turu,Medikal tekstillerdeki antibakteriyel katkılar çevreye zarar verir mi?
Geri_Donusum,Tekstil atıkları nasıl ayrıştırılır?
Surdurulebilirlik_Tanimi,"Sürdürülebilirlik ilkeleri nelerdir, bana kısa bir özet verebilir misin?"
Yonetmelik_Politika,AB Yeşil Mutabakatı tekstil sektörünü nasıl etkiliyor?
Surdurulebilirlik_Tanimi,Doğal kaynakların tükenmesini önlemek için hangi yöntemler uygulanmalı
Vedalasma,Kapanmadan önce teşekkür ederim
Karbon_Ayak_İzi_Hesaplama,Tüketici alışkanlıkları hesaplamaya dahil edilir mi?
Malzeme_Karbon_Ayak_Izi,Doğaya salınan CO2 açısından pamuk mu polyester mi daha etkilidir?
Cevre_Etkisi_Karsilastirma,Kenevir kumaşın çevresel etkisi nedir pamukla karşılaştırıldığında?
Bilinclendirme,"Kıyafetlerin uzun ömürlü kullanımı, sürdürülebilir tüketimin temelidir."
Vedalasma,"Keyifli sohbetti, kendinize dikkat edin."
Surdurulebilirlik_Tanimi,"Eğer doğal kaynaklar hızla tükeniyorsa, nasıl bir üretim tarzı benimsemeliyiz?"
Teknik_Tekstil,Güneş enerjisi üretebilen kumaşlar teknik tekstil midir?
Cevre_Etkisi_Karsilastirma,Hangi kumaş türü daha az kimyasal kullanır?
Oneri_Alternatif,Doğaya zarar vermeyen çorap markaları var mı?
Oneri_Alternatif,Sentetik ayakkabılar yerine daha doğa dostu bir seçenek var mı?
Cevre_Etkisi_Karsilastirma,Tekstil atıklarının çevreye etkisi hangi malzemelerde daha fazladır?
Surdurulebilirlik_Tanimi,Kaynakların tükenmesini önlemek için hangi adımlar atılmalı?
Yonetmelik_Politika,Tekstil atıklarını düzenli depolamak zorunlu mu?
Geri_Donusum,Tekstil ürünleri kaç kez geri dönüştürülebilir?
Malzeme_Turu,Ayakkabılardaki yapıştırıcılar çevreye zarar veriyor mu?
Karbon_Ayak_İzi_Hesaplama,Bu ürünün karbon salımı nasıl hesaplanır?
Oneri_Alternatif,Doğal reçineler tekstilde kullanılabilir mi?
Malzeme_Turu,Kumaşın akrilik içerip içermediğini nasıl anlarım?
Yanlis_Bilgi_Duzeltme,"Tekstil atıkları doğada gübreye dönüşürmüş, böyle bir şey olabilir mi?"
Karbon_Ayak_İzi_Hesaplama,Karbon ayak izi ürün etiketinde belirtilmeli midir?
Etiketleme_Sorusu,Bazen etiket bilgilerinin görsel olarak anlaşılır olması da çok önemli oluyor.
Selamlama,Soru sormaya ne dersiniz?
Cevre_Etkisi_Karsilastirma,Konvansiyonel tekstil ile sürdürülebilir tekstil arasında hangi farklar çevreye daha az zarar verir?
Uretim_Sureci,Isı yönetimi üretim verimliliğini nasıl etkiler?
Malzeme_Turu,Keten ve polyester arasındaki farklar nelerdir?
Oneri_Alternatif,Geleneksel iç çamaşırı yerine hangi sürdürülebilir markaları önerirsin?
Etiketleme_Sorusu,"Etiketteki ""eko-tex"" ibaresi neyi ifade eder?"
Surdurulebilirlik_Tanimi,Sadece organik ürünler kullanmak sürdürülebilir olmak anlamına mı gelir?
Karbon_Ayak_İzi_Hesaplama,İkinci el kıyafetler gerçekten karbon ayak izini düşürür mü?
Vedalasma,Yarın görüşürüz
Surdurulebilirlik_Tanimi,"Organik kumaşlar kullanmak, sürdürülebilirlik açısından ne kadar önemli?"
Yonetmelik_Politika,Türkiye'deki firmalar karbon salımına dair rapor veriyor mu?
Bilinclendirme,Kıyafetlerin etiketinde hangi bilgiler önemli?
Yanlis_Bilgi_Duzeltme,Sıfır atık uygulamaları her firmada farklı işler.
Etiketleme_Sorusu,Etiket üzerinden ürünün ne kadar süre dayanacağı tahmin edilebilir mi?
Surdurulebilirlik_Tanimi,Kumaşların biyolojik olarak parçalanabilirliği çevreyi nasıl etkiler
Yanlis_Bilgi_Duzeltme,"Etik üretim çevreye zarar verirmiş, doğru mu?"
Geri_Donusum,Su tüketimi geri dönüşüm sayesinde azalır mı?
Etiketleme_Sorusu,Etikette yer alan “az suyla üretildi” bilgisi neye dayanır?
Cevre_Etkisi_Karsilastirma,Teknik tekstillerin doğaya etkisi normal tekstillere göre nasıldır?
Teknik_Tekstil,Otomobillerde kullanılan kumaşların üretiminde sürdürülebilirlik düşünülüyor mu?
Oneri_Alternatif,Uzun ömürlü kumaşlar hangileri?
Geri_Donusum,Geri dönüşüm tesisleri hangi malzemeleri kabul ediyor?
Selamlama,Doğa için bugün ne öğrenmek istersiniz?
Selamlama,Güzel bir gün dilerim!
Geri_Donusum,Hangi kumaşlar geri dönüşüme uygun değil?
Etiketleme_Sorusu,Etiket bilgileri eksikse ya da anlaşılmıyorsa güvenilir bir ürün diyebilir miyiz?
Teknik_Tekstil,Medikal tekstiller teknik tekstil sınıfına girer mi?
Yonetmelik_Politika,Karbon ayak izine dair uluslararası kurallar hangileri?
Yonetmelik_Politika,Tekstil boyaları çevreye zararlıysa işletmelere uyarı yapılıyor mu?
Bilinclendirme,Kıyafet alışverişini azaltmak bireysel olarak ne kadar etkili?
Yonetmelik_Politika,Sürdürülebilirlik yönetmelikleri ne kadar güncel?
Bilinclendirme,Karbon ayak izimizi azaltmak gezegenin geleceği için çok önemli.
Surdurulebilirlik_Tanimi,Karbon ayak izinin azaltılması sürdürülebilirliğe katkı sağlar mı?
Karbon_Ayak_İzi_Hesaplama,Karbon ayak izimi azaltmak için uygulayabileceğim basit yöntemler nelerdir?
Uretim_Sureci,Boyama işlemleri tekstilde en çok çevreye zarar veren aşama diye duydum. Detaylı bilgi alabilir miyim?
Karbon_Ayak_İzi_Hesaplama,Bir tişörtün üretiminde ne kadar karbon salınıyor?
Selamlama,Birkaç şey öğrenmek istiyorum.
Karbon_Ayak_İzi_Hesaplama,Kumaş boyama süreçleri karbon salımını nasıl etkiliyor?
Cevre_Etkisi_Karsilastirma,Doğada çözünme süresi en kısa olan tekstil malzemeleri hangileridir?
Teknik_Tekstil,Araba koltuklarındaki kumaşların doğada çözünmesi ne kadar sürüyor?
Oneri_Alternatif,Alternatif iplik kaynakları nelerdir?
Geri_Donusum,Geri dönüşümde kullanılan makineler nelerdir?
Oneri_Alternatif,Polyester yerine ne kullanılabilir?
Surdurulebilirlik_Tanimi,"Tüketici olarak, daha az israf yaratmak için hangi alışkanlıkları değiştirmeliyiz?"
Malzeme_Turu,"Bu kıyafet viskon yazıyor, o ne oluyor tam olarak?"
Vedalasma,Kapanış zamanı geldi.
Karbon_Ayak_İzi_Hesaplama,Kumaş seçimi yaparken çevre dostu bir tercih nasıl anlaşılır?
Bilinclendirme,Sürdürülebilir moda gerçekten mümkün mü?
Cevre_Etkisi_Karsilastirma,Akıllı tekstil ürünleri doğada çözünür mü?
Cevre_Etkisi_Karsilastirma,Kimyasal geri dönüşüm ile mekanik geri dönüşüm arasında hangisi daha sürdürülebilir?
Uretim_Sureci,Yeni teknolojiler kaynak tüketimini nasıl azaltır?
Uretim_Sureci,Üretim sürecinde iş sağlığı ve güvenliği nasıl sağlanır?
Bilinclendirme,Etik moda ile sürdürülebilir moda arasında fark var mı?
Bilinclendirme,Karbon salınımını azaltmak için yerel ürünleri tercih etmeliyiz
Selamlama,Günaydın! Sürdürülebilirlik konusundaki sorularını yanıtlamaya hazırım.
Surdurulebilirlik_Tanimi,Gelecek nesiller için daha iyi bir dünya yaratmak için hangi önlemleri almalıyız?
